,Analysis,Training Size,[Train Data] - The least error ML model,[Train Data] - RMSE (mean of cv=10),[Train Data] - STD (mean of cv=10),[Train Data] - RMSE(%) (mean of cv=10),[Test Data] - The least error ML model,[Test Data] - RMSE (cv=1),[Test Data] - RMSE(%) (cv=1)
0,1,0.25,Multi-layer Regressor,15.114341574340107,4.342187261678022,18.892926967925135,Multi-layer Regressor,15.152857486526875,18.941071858158594
1,1,0.3,Multi-layer Regressor,14.086080964852735,3.0033515775360233,17.60760120606592,Multi-layer Regressor,14.870074669968751,18.587593337460937
2,1,0.35,Random Forest Regressor,14.546315123647881,3.144564750450851,18.18289390455985,Random Forest Regressor,16.950128011983907,21.187660014979883
3,1,0.4,Multi-layer Regressor,13.398849279554204,2.363866132159875,16.748561599442755,Multi-layer Regressor,15.645106561526868,19.556383201908584
4,1,0.45,Multi-layer Regressor,12.133043543415507,2.6951582880229195,15.166304429269385,Multi-layer Regressor,14.654544107842709,18.318180134803384
5,1,0.5,Multi-layer Regressor,12.151518466309321,2.1437942046417455,15.189398082886651,Multi-layer Regressor,14.661071037500045,18.326338796875056
6,1,0.55,Multi-layer Regressor,12.161622140876208,2.2461713377293413,15.202027676095259,Multi-layer Regressor,14.968861283839857,18.71107660479982
7,1,0.6,Multi-layer Regressor,11.651657941182304,2.4046251877255194,14.564572426477879,Multi-layer Regressor,14.481607153112904,18.10200894139113
8,1,0.65,Multi-layer Regressor,11.746097919620519,1.765706640507471,14.68262239952565,Multi-layer Regressor,16.228393609763756,20.285492012204696
9,1,0.7,Random Forest Regressor,11.802837098884725,2.187318454422018,14.753546373605905,Random Forest Regressor,14.314273239230378,17.89284154903797
10,1,0.75,Random Forest Regressor,12.25084041514201,1.7315775042819748,15.313550518927514,Random Forest Regressor,14.094405625589548,17.618007031986934
11,1,0.8,Multi-layer Regressor,11.571440564939092,1.7842297923415489,14.464300706173866,Multi-layer Regressor,11.917267569994845,14.896584462493557
12,1,0.85,Multi-layer Regressor,11.680117433903213,1.3287876474228122,14.600146792379014,Multi-layer Regressor,11.58838121597278,14.485476519965973
13,1,0.9,Multi-layer Regressor,11.26745155204722,1.1609222307457225,14.084314440059027,Multi-layer Regressor,10.126180940991752,12.65772617623969
14,2,0.25,Random Forest Regressor,26.428741971155848,8.092552031020212,2.4864660767045206,Random Forest Regressor,28.094660360061443,2.6431988324706794
15,2,0.3,Random Forest Regressor,28.36435983496105,8.084712924017436,2.668572669635339,Random Forest Regressor,26.137397964587205,2.4590558810253342
