,Analysis,Training Size,[Train Data] - The least error ML model,[Train Data] - RMSE (mean of cv=10),[Train Data] - STD (mean of cv=10),[Train Data] - RMSE(%) (mean of cv=10),[Test Data] - The least error ML model,[Test Data] - RMSE (cv=1),[Test Data] - RMSE(%) (cv=1)
0,1,0.25,Random Forest Regressor,28.21529394031067,7.655190341702838,2.6545482680710757,Random Forest Regressor,25.86127132284088,2.4330773638365133
1,1,0.3,Random Forest Regressor,27.352916223750423,7.691913774414523,2.5734141399361383,Random Forest Regressor,27.49986187406775,2.5872390648997285
2,1,0.35,Random Forest Regressor,25.083755977841523,7.455306025225391,2.3599272482703597,Random Forest Regressor,26.15730017095355,2.460928318277001
3,1,0.4,Random Forest Regressor,24.742936841630463,7.740093060958383,2.3278623387334085,Random Forest Regressor,26.367078320587073,2.4806646437240043
4,1,0.45,Random Forest Regressor,26.146867156715693,6.400152668727816,2.4599467605468406,Random Forest Regressor,26.704856212313185,2.512443427222454
5,1,0.5,Random Forest Regressor,23.24617690727687,6.756819829005239,2.187044330604135,Random Forest Regressor,27.975174125883353,2.631957341360689
6,1,0.55,Random Forest Regressor,22.336041011244667,7.120777964478935,2.1014170225338153,Random Forest Regressor,24.045884953395763,2.262282377504455
7,1,0.6,Random Forest Regressor,23.554839953598876,4.460698726506485,2.2160839343298653,Random Forest Regressor,26.870907838435087,2.5280658785591217
8,1,0.65,Random Forest Regressor,23.268335784390594,4.960560787253306,2.1891290797118024,Random Forest Regressor,24.430812737801553,2.2984971121653257
9,1,0.7,Random Forest Regressor,21.401942810693583,4.333434446364912,2.0135352954914962,Random Forest Regressor,22.896901865642995,2.1541838734771925
10,1,0.75,Random Forest Regressor,22.345189260626245,5.419471467771067,2.1022777071541183,Random Forest Regressor,16.231095653220166,1.5270522060234524
11,1,0.8,Random Forest Regressor,21.526797450526185,6.303354023156486,2.025281856368353,Random Forest Regressor,16.152576843499922,1.5196650077615872
12,1,0.85,Random Forest Regressor,21.60024161231141,4.746261594532847,2.032191622145713,Random Forest Regressor,15.340505261355766,1.4432637759866909
13,1,0.9,Random Forest Regressor,19.99473994772423,5.746071116728255,1.8811429861778888,Random Forest Regressor,15.469286419058456,1.455379751098028
14,2,0.25,Decision Tree Regressor,8.322874703032001,5.046380300704237,0.8273800614537913,Decision Tree Regressor,12.254409331096706,1.2182153771639836
15,2,0.3,Random Forest Regressor,7.5125599221729455,4.81807050436205,0.746826368516441,Random Forest Regressor,13.235035831895694,1.3156998213547282
16,2,0.35,Decision Tree Regressor,7.319067958214364,2.2913767342034,0.7275912606068452,Decision Tree Regressor,14.840658560332475,1.4753153723664085
17,2,0.4,Random Forest Regressor,7.373736335771575,3.3768242766264485,0.7330258642980899,Random Forest Regressor,11.325024812211593,1.1258249174026178
18,2,0.45,Random Forest Regressor,5.893719139619746,2.749331586323242,0.5858968058420406,Random Forest Regressor,11.169674073236756,1.110381442816479
19,2,0.5,Random Forest Regressor,7.8027270307774375,3.637928605693528,0.7756719884152475,Random Forest Regressor,11.92834973684179,1.185801671952976
20,2,0.55,Random Forest Regressor,7.25205078888351,3.0333280065698953,0.7209290589448135,Random Forest Regressor,12.308245867929648,1.2235672872602716
21,2,0.6,Random Forest Regressor,7.125252197783849,3.301869631203719,0.7083239639698679,Random Forest Regressor,13.165485753894226,1.3087858223022124
22,2,0.65,Decision Tree Regressor,8.58436315077859,6.131963490473393,0.8533747250388641,Decision Tree Regressor,8.018231905393955,0.7970954079386546
23,2,0.7,Decision Tree Regressor,8.818599575836583,5.534349200607309,0.8766602549398005,Decision Tree Regressor,8.403622521719111,0.8354072320614737
24,2,0.75,Linear Regressor,8.447728663638863,3.0843906826948415,0.8397918399901212,Linear Regressor,7.318368906868086,0.7275217676532107
25,2,0.8,Linear Regressor,8.194263878331936,3.035664763671343,0.814594811664413,Linear Regressor,7.901098483154048,0.7854511309851829
26,2,0.85,Random Forest Regressor,7.241533766738284,4.591931622384046,0.7198835578722504,Random Forest Regressor,6.041280171455479,0.6005659027520249
27,2,0.9,Random Forest Regressor,7.434900950655806,3.7963009453018866,0.7391062613516796,Random Forest Regressor,5.439606862655562,0.5407533359439929
